1.000          3.82524421          3.44641966          3.24059517          3.10295260          3.00101938          2.92082246          2.85515770          2.79984979          2.75230357          2.71077269          2.67406576          2.64133157          2.61198808          2.58559012          2.56189824          2.54083903          2.52262797          2.50826288          2.50196482
1.231          3.82459150          3.44583569          3.24003173          3.10241885          3.00050340          2.92031621          2.85465967          2.79936443          2.75181565          2.71029265          2.67357471          2.64084013          2.61147381          2.58506921          2.56133783          2.54021365          2.52189982          2.50730282          2.50032436
1.455          3.82393650          3.44519502          3.23941718          3.10183183          2.99994843          2.91978006          2.85413240          2.79884448          2.75129317          2.70976918          2.67304684          2.64030973          2.61092092          2.58448714          2.56071711          2.53952840          2.52109065          2.50624141          2.49853301
1.600          3.82335769          3.44471680          3.23896500          3.10139736          2.99953820          2.91937193          2.85373967          2.79845257          2.75091297          2.70938488          2.67266381          2.63990700          2.61051878          2.58404404          2.56025048          2.53901990          2.52049887          2.50548612          2.49735038
2.000          3.82164860          3.44321944          3.23757651          3.10007558          2.99826504          2.91813124          2.85252072          2.79724531          2.74971041          2.70819467          2.67145788          2.63868982          2.60927075          2.58275076          2.55887533          2.53752676          2.51879329          2.50337150          2.49419951
2.462          3.81945162          3.44120029          3.23573757          3.09828259          2.99654254          2.91645336          2.85086817          2.79562117          2.74811708          2.70659728          2.66986734          2.63706053          2.60761390          2.58107259          2.55708580          2.53562309          2.51664970          2.50085486          2.49076773
2.909          3.81680488          3.43887193          3.23367400          3.09629266          2.99459562          2.91455575          2.84905435          2.79378988          2.74632553          2.70481634          2.66809429          2.63524891          2.60584686          2.57918589          2.55515397          2.53362872          2.51447643          2.49836511          2.48761168
3.200          3.81504820          3.43731714          3.23214230          3.09488130          2.99323665          2.91327609          2.84775151          2.79253208          2.74508872          2.70355944          2.66685624          2.63407953          2.60456472          2.57794760          2.55393449          2.53224435          2.51302708          2.49679432          2.48572553
4.000          3.80947616          3.43254286          3.22765607          3.09059668          2.98912059          2.90934406          2.84375954          2.78877013          2.74119480          2.69976197          2.66315586          2.63024462          2.60069046          2.57417359          2.55010465          2.52825335          2.50874496          2.49217631          2.48067703
4.923          3.80271861          3.42660357          3.22231029          3.08506023          2.98374051          2.90408819          2.83878599          2.78343367          2.73656405          2.69503442          2.65792121          2.62529720          2.59624227          2.56960296          2.54491199          2.52287332          2.50340838          2.48700687          2.47522358
5.818          3.79544462          3.42026798          3.21592598          3.07898163          2.97763390          2.89804955          2.83363277          2.77764326          2.73023906          2.69011542          2.65351971          2.61993111          2.58995089          2.56358412          2.54028503          2.51897206          2.49917026          2.48149974          2.46865027
6.400          3.79274544          3.41344062          3.21109642          3.07486547          2.97315368          2.89356464          2.83023184          2.77424624          2.72569810          2.68588365          2.65055074          2.61790544          2.58691199          2.55949169          2.53550611          2.51461669          2.49608064          2.47983079          2.46727912
8.000          3.76670420          3.39936680          3.19639409          3.06855183          2.96595367          2.88647316          2.82695118          2.77347382          2.72313824          2.67952358          2.64394233          2.61438982          2.58786560          2.56214257          2.53622606          2.51195832          2.48985102          2.47155755          2.45946054
