hih1=1.455 Number of points =130
     0.100000000E+00     0.100000000E-04     0.172126154E+00     0.130419166E-05     0.234334530E-01
     0.100000000E+00     0.177828000E-04     0.298519237E+00     0.408165731E-05     0.231034710E+00
     0.100000000E+00     0.316228000E-04     0.440566405E+00     0.108934310E-04     0.176528443E+01
     0.100000000E+00     0.562341000E-04     0.532942193E+00     0.241737768E-04     0.704569159E+01
     0.100000000E+00     0.100000000E-03     0.588990593E+00     0.449677267E-04     0.140023469E+02
     0.100000000E+00     0.177827900E-03     0.652839840E+00     0.947234040E-04     0.249305831E+02
     0.100000000E+00     0.316227800E-03     0.721716798E+00     0.204532733E-03     0.387800618E+02
     0.100000000E+00     0.562341300E-03     0.801813237E+00     0.459166798E-03     0.525289461E+02
     0.100000000E+00     0.100000000E-02     0.898196679E+00     0.105745242E-02     0.552057441E+02
     0.100000000E+00     0.177827940E-02     0.993072095E+00     0.216333456E-02     0.181037180E+02
     0.100000000E+00     0.316227770E-02     0.100027251E+01     0.225509515E-02     0.283541836E-10
     0.100000000E+00     0.562341330E-02     0.100026286E+01     0.224005343E-02     0.279406633E-10
     0.100000000E+00     0.100000000E-01     0.100024638E+01     0.221240633E-02     0.279414663E-10
     0.200000000E+00     0.100000000E-04     0.154969532E+00     0.576315254E-06     0.190148921E-01
     0.200000000E+00     0.177828000E-04     0.270523525E+00     0.181514768E-05     0.189475704E+00
     0.200000000E+00     0.316228000E-04     0.407189329E+00     0.492940985E-05     0.151584723E+01
     0.200000000E+00     0.562341000E-04     0.497778566E+00     0.109108657E-04     0.656896860E+01
     0.200000000E+00     0.100000000E-03     0.550464114E+00     0.199087077E-04     0.137057310E+02
     0.200000000E+00     0.177827900E-03     0.608191867E+00     0.404497488E-04     0.257734750E+02
     0.200000000E+00     0.316227800E-03     0.667416244E+00     0.830203670E-04     0.435983974E+02
     0.200000000E+00     0.562341300E-03     0.732214018E+00     0.175738692E-03     0.674919802E+02
     0.200000000E+00     0.100000000E-02     0.807323992E+00     0.388931099E-03     0.921983945E+02
     0.200000000E+00     0.177827940E-02     0.897519521E+00     0.889324065E-03     0.994447394E+02
     0.200000000E+00     0.316227770E-02     0.989571308E+00     0.185028524E-02     0.421625426E+02
     0.200000000E+00     0.562341330E-02     0.100061276E+01     0.200153026E-02     0.279799166E-10
     0.200000000E+00     0.100000000E-01     0.100060443E+01     0.199236098E-02     0.279419491E-10
     0.300000000E+00     0.100000000E-04     0.146021339E+00     0.358026599E-06     0.168894333E-01
     0.300000000E+00     0.177828000E-04     0.255733047E+00     0.113122600E-05     0.169123305E+00
     0.300000000E+00     0.316228000E-04     0.389222537E+00     0.310498957E-05     0.138216470E+01
     0.300000000E+00     0.562341000E-04     0.479262407E+00     0.690075146E-05     0.624629480E+01
     0.300000000E+00     0.100000000E-03     0.530648891E+00     0.125411818E-04     0.133462469E+02
     0.300000000E+00     0.177827900E-03     0.586042136E+00     0.252252124E-04     0.256035452E+02
     0.300000000E+00     0.316227800E-03     0.641800845E+00     0.508543065E-04     0.446625641E+02
     0.300000000E+00     0.562341300E-03     0.701008193E+00     0.104648075E-03     0.728106411E+02
     0.300000000E+00     0.100000000E-02     0.767218450E+00     0.223913622E-03     0.108008064E+03
     0.300000000E+00     0.177827940E-02     0.845323972E+00     0.501388883E-03     0.137664493E+03
     0.300000000E+00     0.316227770E-02     0.937708895E+00     0.113564278E-02     0.124224686E+03
     0.300000000E+00     0.562341330E-02     0.100080020E+01     0.187731003E-02     0.493981004E-02
     0.300000000E+00     0.100000000E-01     0.100074070E+01     0.187041262E-02     0.279385430E-10
     0.400000000E+00     0.100000000E-04     0.140045451E+00     0.254370519E-06     0.155392306E-01
     0.400000000E+00     0.177828000E-04     0.245783696E+00     0.805378596E-06     0.156088377E+00
     0.400000000E+00     0.316228000E-04     0.376963185E+00     0.222731301E-05     0.129311807E+01
     0.400000000E+00     0.562341000E-04     0.466714414E+00     0.497088744E-05     0.601170411E+01
     0.400000000E+00     0.100000000E-03     0.517334676E+00     0.902343114E-05     0.130530740E+02
     0.400000000E+00     0.177827900E-03     0.571357865E+00     0.180727195E-04     0.253168647E+02
     0.400000000E+00     0.316227800E-03     0.625214114E+00     0.361294236E-04     0.448463037E+02
     0.400000000E+00     0.562341300E-03     0.681460712E+00     0.732057644E-04     0.752130661E+02
     0.400000000E+00     0.100000000E-02     0.742836407E+00     0.153154071E-03     0.116767822E+03
     0.400000000E+00     0.177827940E-02     0.813579395E+00     0.335364063E-03     0.160803105E+03
     0.400000000E+00     0.316227770E-02     0.898246805E+00     0.761044112E-03     0.176934505E+03
     0.400000000E+00     0.562341330E-02     0.986743314E+00     0.159805708E-02     0.862480179E+02
     0.400000000E+00     0.100000000E-01     0.100081471E+01     0.178521801E-02     0.252801161E-10
     0.500000000E+00     0.100000000E-04     0.135903586E+00     0.197589201E-06     0.146360644E-01
     0.500000000E+00     0.177828000E-04     0.238854401E+00     0.626484561E-06     0.147324883E+00
     0.500000000E+00     0.316228000E-04     0.368332644E+00     0.174193203E-05     0.123180852E+01
     0.500000000E+00     0.562341000E-04     0.457907111E+00     0.390118627E-05     0.584180864E+01
     0.500000000E+00     0.100000000E-03     0.508030729E+00     0.707982152E-05     0.128300419E+02
     0.500000000E+00     0.177827900E-03     0.561163436E+00     0.141510690E-04     0.250544269E+02
     0.500000000E+00     0.316227800E-03     0.613842048E+00     0.281668822E-04     0.447578706E+02
     0.500000000E+00     0.562341300E-03     0.668337814E+00     0.565758210E-04     0.763150237E+02
