     1.00000000      2.88055943
     1.10000000      2.88017497
     1.20000000      2.87978128
     1.30000000      2.87937893
     1.40000000      2.87896844
     1.50000000      2.87855022
     1.60000000      2.87812467
     1.70000000      2.87769213
     1.80000000      2.87725290
     1.90000000      2.87680727
     2.00000000      2.87635547
     2.10000000      2.87589775
     2.20000000      2.87543432
     2.30000000      2.87496536
     2.40000000      2.87449105
     2.50000000      2.87401156
     2.60000000      2.87352705
     2.70000000      2.87303766
     2.80000000      2.87254352
     2.90000000      2.87204476
     3.00000000      2.87154149
     3.10000000      2.87103384
     3.20000000      2.87052189
     3.30000000      2.87000576
     3.40000000      2.86948554
     3.50000000      2.86896132
     3.60000000      2.86843317
     3.70000000      2.86790119
     3.80000000      2.86736545
     3.90000000      2.86682602
     4.00000000      2.86628298
     4.10000000      2.86573638
     4.20000000      2.86518630
     4.30000000      2.86463280
     4.40000000      2.86407593
     4.50000000      2.86351575
     4.60000000      2.86295232
     4.70000000      2.86238568
     4.80000000      2.86181590
     4.90000000      2.86124302
     5.00000000      2.86066707
     5.10000000      2.86008812
     5.20000000      2.85950621
     5.30000000      2.85892137
     5.40000000      2.85833364
     5.50000000      2.85774308
     5.60000000      2.85714970
     5.70000000      2.85655356
     5.80000000      2.85595469
     5.90000000      2.85535312
     6.00000000      2.85474889
     6.10000000      2.85414203
     6.20000000      2.85353257
     6.30000000      2.85292054
     6.40000000      2.85230598
     6.50000000      2.85168891
     6.60000000      2.85106936
     6.70000000      2.85044736
     6.80000000      2.84982293
     6.90000000      2.84919610
     7.00000000      2.84856691
     7.10000000      2.84793537
     7.20000000      2.84730150
     7.30000000      2.84666534
     7.40000000      2.84602690
     7.50000000      2.84538621
     7.60000000      2.84474329
     7.70000000      2.84409816
     7.80000000      2.84345084
     7.90000000      2.84280136
     8.00000000      2.84214973
